Date,Category,Amount,Note
2025-02-03,Groceries,1200,Fruits and veggies
2025-02-05,Transport,300,Bus pass
2025-02-10,Utilities,1800,Electricity bill
2025-02-12,Entertainment,700,Movie night
2025-02-15,Groceries,1300,Monthly ration
2025-02-20,Transport,250,Auto fare
2025-02-25,Medical,500,Pharmacy

2025-03-01,Groceries,1100,Fruits and milk
2025-03-04,Transport,350,Cab
2025-03-08,Utilities,1900,Water & electricity
2025-03-11,Entertainment,800,Concert
2025-03-14,Medical,1200,Clinic visit
2025-03-19,Groceries,1400,Kitchen restock
2025-03-22,Transport,280,Rickshaw
2025-03-27,Groceries,900,Snacks

2025-04-02,Groceries,1000,Vegetables
2025-04-05,Transport,400,Cab fare
2025-04-08,Utilities,2000,Monthly bill
2025-04-10,Entertainment,1000,Games & fun
2025-04-13,Groceries,1150,Home needs
2025-04-17,Transport,300,Metro card
2025-04-20,Medical,800,Medicines
2025-04-21,Groceries,950,Dry items
